Year,economic activity,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2018,transport equipment rental,.,,,<u>additional time series:</u> full-time equivalents,
2019,transport equipment rental,.,,,<u>additional time series:</u> full-time equivalents,
2020,transport equipment rental,,,,<u>additional time series:</u> full-time equivalents,24773.0
2021,transport equipment rental,,,,<u>additional time series:</u> full-time equivalents,29873.0
2022,transport equipment rental,,,,<u>additional time series:</u> full-time equivalents,33751.0
2023,transport equipment rental,,,,<u>additional time series:</u> full-time equivalents,31106.0
2010,travel agencies and other reservation service activities,.,,,<u>additional time series:</u> full-time equivalents,
2011,travel agencies and other reservation service activities,.,,,<u>additional time series:</u> full-time equivalents,
2012,travel agencies and other reservation service activities,.,,,<u>additional time series:</u> full-time equivalents,
2013,travel agencies and other reservation service activities,.,,,<u>additional time series:</u> full-time equivalents,
2014,travel agencies and other reservation service activities,.,,,<u>additional time series:</u> full-time equivalents,
2015,travel agencies and other reservation service activities,.,,,<u>additional time series:</u> full-time equivalents,
2016,travel agencies and other reservation service activities,.,,,<u>additional time series:</u> full-time equivalents,
2017,travel agencies and other reservation service activities,.,,,<u>additional time series:</u> full-time equivalents,
2018,travel agencies and other reservation service activities,.,,,<u>additional time series:</u> full-time equivalents,
2019,travel agencies and other reservation service activities,.,,,<u>additional time series:</u> full-time equivalents,
2020,travel agencies and other reservation service activities,,,,<u>additional time series:</u> full-time equivalents,59091.0
2021,travel agencies and other reservation service activities,,,,<u>additional time series:</u> full-time equivalents,61658.0
2022,travel agencies and other reservation service activities,,,,<u>additional time series:</u> full-time equivalents,66304.0
2023,travel agencies and other reservation service activities,,,,<u>additional time series:</u> full-time equivalents,63200.0
2021,cultural activities,,,,<u>additional time series:</u> full-time equivalents,40488.0
2022,cultural activities,,,,<u>additional time series:</u> full-time equivalents,41359.0
2023,cultural activities,,,,<u>additional time series:</u> full-time equivalents,43002.0
2021,sports and recreational activities,,,,<u>additional time series:</u> full-time equivalents,218932.0
2022,sports and recreational activities,,,,<u>additional time series:</u> full-time equivalents,193459.0
2023,sports and recreational activities,,,,<u>additional time series:</u> full-time equivalents,182289.0
