Year,Units,type of harassment,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2025,number,sexual harassment,18 to under 21 years,,,,,1057.0
2010,number,sexual harassment,18 to under 21 years,female,,,,728.0
2011,number,sexual harassment,18 to under 21 years,female,,,,747.0
2012,number,sexual harassment,18 to under 21 years,female,,,,752.0
2013,number,sexual harassment,18 to under 21 years,female,,,,694.0
2014,number,sexual harassment,18 to under 21 years,female,,,,754.0
2015,number,sexual harassment,18 to under 21 years,female,,,,740.0
2016,number,sexual harassment,18 to under 21 years,female,,,,702.0
2017,number,sexual harassment,18 to under 21 years,female,,,,858.0
2018,number,sexual harassment,18 to under 21 years,female,,,,783.0
2019,number,sexual harassment,18 to under 21 years,female,,,,640.0
2020,number,sexual harassment,18 to under 21 years,female,,,,876.0
2021,number,sexual harassment,18 to under 21 years,female,|,,,789.0
2022,number,sexual harassment,18 to under 21 years,female,,,,826.0
2023,number,sexual harassment,18 to under 21 years,female,,,,825.0
2024,number,sexual harassment,18 to under 21 years,female,,,,901.0
2025,number,sexual harassment,18 to under 21 years,female,,,,891.0
2010,number,sexual harassment,18 to under 21 years,male,,,,68.0
2011,number,sexual harassment,18 to under 21 years,male,,,,64.0
2012,number,sexual harassment,18 to under 21 years,male,,,,56.0
2013,number,sexual harassment,18 to under 21 years,male,,,,58.0
2014,number,sexual harassment,18 to under 21 years,male,,,,55.0
2015,number,sexual harassment,18 to under 21 years,male,,,,63.0
